sample,steer,drive
532,145,145
533,145,145
534,145,145
535,145,145
536,145,145
537,145,145
538,145,145
539,145,145
540,145,145
541,145,145
542,145,145
543,145,145
544,145,145
545,145,145
546,145,145
547,145,145
548,145,145
549,145,145
550,145,145
551,145,145
552,145,145
553,145,145
554,145,145
555,145,145
556,145,145
557,145,145
558,145,145
559,145,145
560,145,145
561,145,145
562,145,145
563,145,145
564,145,145
565,145,145
566,145,145
567,145,145
568,145,145
569,145,145
570,145,145
571,145,145
572,145,145
573,145,145
574,145,145
575,145,145
576,145,145
577,145,145
578,145,145
579,145,145
580,145,145
581,145,145
582,145,145
583,145,145
584,145,145
585,145,145
586,145,145
587,145,145
588,145,145
589,145,145
590,145,145
591,145,145
592,145,145
593,145,145
594,145,145
595,145,145
596,145,145
597,163,145
598,176,145
599,185,145
600,191,145
601,196,145
602,199,145
603,201,145
604,203,145
605,204,145
606,205,145
607,205,145
608,205,145
609,205,145
610,205,145
611,205,145
612,187,145
613,175,145
614,157,145
615,145,145
616,136,145
617,130,145
618,126,145
619,123,145
620,121,145
621,120,145
622,119,145
623,118,145
624,118,145
625,118,145
626,118,145
627,118,145
628,118,145
629,118,145
630,145,145
631,158,145
632,165,145
633,177,145
634,186,145
635,192,145
636,196,145
637,199,145
638,201,145
639,203,145
640,204,145
641,205,145
642,205,145
643,205,145
644,187,145
645,175,145
646,166,145
647,160,145
648,156,145
649,153,145
650,151,145
651,150,145
652,149,145
653,148,145
654,148,145
655,148,145
656,148,145
657,148,145
658,148,145
659,148,145
660,148,145
661,148,145
662,148,145
663,148,145
664,148,145
665,148,145
666,148,145
667,148,145
668,148,145
669,148,145
670,148,145
671,148,145
672,148,145
673,148,145
674,148,145
675,148,145
676,148,145
677,148,145
678,148,145
679,148,145
680,148,145
681,148,145
682,148,145
683,148,145
684,148,145
685,148,145
686,148,145
687,148,145
688,148,145
689,148,145
690,148,145
691,148,145
692,148,145
693,148,145
694,148,145
695,148,145
696,148,145
697,148,145
698,148,145
699,148,145
700,148,145
701,148,145
702,148,145
703,148,145
704,148,145
705,148,145
706,148,145
707,148,145
708,148,145
709,148,145
710,148,145
711,148,145
712,148,145
713,148,145
714,148,145
715,148,145
716,148,145
717,148,145
718,148,145
719,148,145
720,148,145
721,148,145
722,148,145
723,148,145
724,148,145
725,148,145
726,148,145
727,148,145
728,148,145
729,148,145
730,148,145
731,148,145
732,148,145
733,148,145
734,148,151
735,148,156
736,148,159
737,148,161
738,148,163
739,148,164
740,148,159
741,148,155
742,148,152
743,139,147
744,132,144
745,127,142
746,124,140
747,122,139
748,120,138
749,119,138
750,118,138
751,118,138
752,118,138
753,118,138
754,118,138
755,118,138
756,118,138
757,118,138
758,118,138
759,118,141
760,127,143
761,151,150
762,168,155
763,180,158
764,188,161
765,194,163
766,198,164
767,201,165
768,203,165
769,204,165
770,205,165
771,187,159
772,175,155
773,166,152
774,160,150
775,156,149
776,153,148
777,151,145
778,150,142
779,149,140
780,148,139
781,148,138
782,148,138
783,148,138
784,148,138
785,148,138
786,148,138
787,148,138
788,148,138
789,148,138
790,166,138
791,178,138
792,187,138
793,193,138
794,197,138
795,200,138
796,202,138
797,203,138
798,204,138
799,205,138
800,205,138
801,205,138
802,205,138
803,205,138
804,205,141
805,187,143
806,175,144
807,166,151
808,160,156
809,156,159
810,153,161
811,151,163
812,141,164
813,134,165
814,129,165
815,125,165
816,122,165
817,120,165
818,119,165
819,118,165
820,118,165
821,118,165
822,118,165
823,118,165
824,118,165
825,118,165
826,127,159
827,133,152
828,155,147
829,170,144
830,181,142
831,189,140
832,194,139
833,198,138
834,201,138
835,203,138
836,204,138
837,205,138
838,205,138
839,205,138
840,205,138
841,205,138
842,205,138
843,205,138
844,205,138
845,205,138
846,205,138
847,205,138
848,205,138
849,187,141
850,175,143
851,166,144
852,151,151
853,141,156
854,134,159
855,129,161
856,125,163
857,122,164
858,120,165
859,119,165
860,118,165
861,118,165
862,118,165
863,118,165
864,118,165
865,118,165
866,127,159
867,133,155
868,155,149
869,170,145
870,181,142
871,189,140
872,194,139
873,198,138
874,201,138
875,203,138
876,204,138
877,205,138
878,205,138
879,205,138
880,205,138
881,205,138
882,205,138
883,205,138
884,205,138
885,205,138
886,205,138
887,205,138
888,205,138
889,187,141
890,175,143
891,166,144
892,160,145
893,156,151
894,144,156
895,136,159
896,130,161
897,126,163
898,123,164
899,121,165
900,120,165
901,119,165
902,127,165
903,133,165
904,137,165
905,140,165
906,142,165
907,143,165
908,144,165
909,145,165
910,145,165
911,145,165
912,145,165
913,145,165
914,145,165
915,163,165
916,176,165
917,185,165
918,191,165
919,196,165
920,181,165
921,171,165
922,164,165
923,159,165
924,146,165
925,146,165
926,146,165
927,146,165
928,137,165
929,140,165
930,142,165
931,143,165
932,162,165
933,175,159
934,166,155
935,160,152
936,156,150
937,153,149
938,151,148
939,150,148
940,149,148
941,148,148
942,148,148
943,148,148
944,139,145
945,132,142
946,127,140
947,124,139
948,122,138
949,120,138
950,119,138
951,118,138
952,118,138
953,118,138
954,118,138
955,118,138
956,118,138
957,118,138
958,118,138
959,118,138
960,118,138
961,118,138
962,118,138
963,118,138
964,118,138
965,118,138
966,118,138
967,118,138
968,118,138
969,118,138
970,118,138
971,118,138
972,118,138
973,118,138
974,118,138
975,118,138
976,118,138
977,127,141
978,133,143
979,137,144
980,140,145
981,142,145
982,143,145
983,144,145
984,145,145
985,145,145
986,163,151
987,176,156
988,185,159
989,191,161
990,196,163
991,181,158
992,171,155
993,164,152
994,159,150
995,146,146
996,137,143
997,131,141
998,127,140
999,124,139
1000,122,138
1001,120,138
1002,119,138
1003,118,138
1004,127,141
1005,133,143
1006,137,144
1007,140,145
1008,160,151
1009,174,156
1010,184,159
1011,191,161
1012,196,163
1013,199,164
1014,183,159
1015,172,155
1016,155,149
1017,143,145
1018,135,142
1019,129,140
1020,125,139
1021,122,138
1022,120,138
1023,119,138
1024,118,138
1025,118,138
1026,118,138
1027,118,138
1028,118,138
1029,118,138
1030,118,138
1031,127,141
1032,133,149
1033,155,154
1034,170,158
1035,181,161
1036,189,163
1037,194,164
1038,180,165
1039,170,165
1040,163,165
1041,158,165
1042,155,165
1043,152,165
1044,150,165
1045,149,165
1046,148,165
1047,148,165
1048,148,165
1049,148,165
1050,166,165
1051,178,165
1052,187,165
1053,193,165
1054,197,165
1055,200,165
1056,202,165
1057,203,165
1058,204,165
1059,205,165
1060,205,165
1061,187,159
1062,175,155
1063,166,152
1064,160,150
1065,156,149
1066,153,148
1067,151,148
1068,150,148
1069,149,148
1070,148,148
1071,148,148
1072,148,148
1073,148,148
1074,148,148
1075,148,148
1076,148,148
1077,148,148
1078,148,148
1079,148,148
1080,148,148
1081,148,148
1082,148,148
1083,148,148
1084,148,148
1085,148,148
1086,148,148
1087,148,148
1088,148,148
1089,148,148
1090,148,148
1091,148,148
1092,148,148
1093,148,148
1094,148,148
1095,148,148
1096,148,148
1097,148,148
1098,148,148
1099,148,148
1100,148,148
1101,166,154
1102,178,158
1103,187,161
1104,193,163
1105,197,164
1106,200,165
1107,184,159
1108,164,152
1109,150,147
1110,140,144
1111,133,142
1112,128,140
1113,125,139
1114,122,138
1115,120,138
1116,119,138
1117,118,138
1118,118,138
1119,118,138
1120,118,138
1121,118,138
1122,118,138
1123,118,138
1124,118,138
1125,118,138
1126,118,138
1127,118,138
1128,118,138
1129,118,138
1130,118,138
1131,118,138
1132,118,138
1133,118,138
1134,118,138
1135,118,138
1136,118,138
1137,127,141
1138,133,143
1139,137,144
1140,140,145
1141,142,145
1142,143,145
1143,144,145
1144,145,145
1145,163,151
1146,176,156
1147,185,159
1148,191,161
1149,196,163
1150,181,158
1151,171,155
1152,164,152
1153,159,150
1154,155,149
1155,152,148
1156,150,148
